trajectory_index,target_id,component,objective,distance_to_matched_fe,similarity_to_matched_fe,primary_method,reference_method,similarity_to_matched_feg,distance_to_matched_feg
0,xi+0.000000_eta+0.000000,B2,-55.45903871811982,0.17907162655001427,0.9838360394723972,GFE,GFE,0.9838360394723972,0.17907162655001427
1,xi+0.000000_eta+0.000000,B2,-53.961184057792345,0.28364937873286367,0.9589280629663836,GFE,GFE,0.9589280629663836,0.28364937873286367
2,xi+0.000000_eta+0.000000,B1,-54.23648720528575,0.2559789633450899,0.9666823523395744,GFE,GFE,0.9666823523395744,0.2559789633450899
3,xi+0.000000_eta+0.000000,B2,-54.01290157131446,0.2796955634019811,0.9600887416344639,GFE,GFE,0.9600887416344639,0.2796955634019811
4,xi+0.000000_eta+0.000000,B1,-53.87662574613004,0.2757846419946282,0.9612194500944593,GFE,GFE,0.9612194500944593,0.2757846419946282
5,xi+0.000000_eta+0.000000,B1,-54.98676131419291,0.22271110881862063,0.9748844864950824,GFE,GFE,0.9748844864950824,0.22271110881862063
6,xi+0.000000_eta+0.000000,B1,-54.36804647242058,0.2521990402890676,0.9676753815599906,GFE,GFE,0.9676753815599906,0.2521990402890676
7,xi+0.000000_eta+0.000000,B2,-51.33790608204431,0.38844759442310794,0.9214708168937856,GFE,GFE,0.9214708168937856,0.38844759442310794
8,xi+0.000000_eta+0.000000,B2,-51.61931226774069,0.36798065481251624,0.9298334462062288,GFE,GFE,0.9298334462062288,0.36798065481251624
9,xi+0.000000_eta+0.000000,B1,-53.454134228337466,0.2901656478162847,0.9569764348338761,GFE,GFE,0.9569764348338761,0.2901656478162847
10,xi+0.000000_eta+0.000000,B1,-55.00254061295359,0.2266690661201109,0.9739718345333385,GFE,GFE,0.9739718345333385,0.2266690661201109
11,xi+0.000000_eta+0.000000,B1,-55.18483375752099,0.22318291986110145,0.974776581726435,GFE,GFE,0.974776581726435,0.22318291986110145
12,xi+0.000000_eta+0.000000,B1,-53.57869909147282,0.2631518245509843,0.9647544336438615,GFE,GFE,0.9647544336438615,0.2631518245509843
13,xi+0.000000_eta+0.000000,B1,-52.023006172097546,0.32616501863528596,0.9453128480131028,GFE,GFE,0.9453128480131028,0.32616501863528596
14,xi+0.000000_eta+0.000000,B2,-54.422496670315844,0.24411675853833284,0.9697458472201556,GFE,GFE,0.9697458472201556,0.24411675853833284
15,xi+0.000000_eta+0.000000,B2,-54.234872134917524,0.2602718639134391,0.9655353731764695,GFE,GFE,0.9655353731764695,0.2602718639134391
16,xi+0.000000_eta+0.000000,B2,-54.44879831153139,0.23725115450602935,0.9714483463805763,GFE,GFE,0.9714483463805763,0.23725115450602935
17,xi+0.000000_eta+0.000000,B1,-53.982678147714836,0.2652663141996331,0.9641751825010544,GFE,GFE,0.9641751825010544,0.2652663141996331
18,xi+0.000000_eta+0.000000,B1,-52.314714105773,0.33750449262757765,0.941323917393052,GFE,GFE,0.941323917393052,0.33750449262757765
19,xi+0.000000_eta+0.000000,B2,-52.948056216899516,0.32690264442312084,0.9450580199486012,GFE,GFE,0.9450580199486012,0.32690264442312084
20,xi+0.000000_eta+0.000000,B2,-52.070432902973316,0.32954301563461713,0.9441405620173526,GFE,GFE,0.9441405620173526,0.32954301563461713
21,xi+0.000000_eta+0.000000,B1,-53.42999297836773,0.300375561401863,0.9538210115700512,GFE,GFE,0.9538210115700512,0.300375561401863
22,xi+0.000000_eta+0.000000,B2,-54.827556186820516,0.21435451903554503,0.9767559266106555,GFE,GFE,0.9767559266106555,0.21435451903554503
23,xi+0.000000_eta+0.000000,B1,-55.38973240422455,0.18211835470794546,0.9832766166641363,GFE,GFE,0.9832766166641363,0.18211835470794546
24,xi+0.000000_eta+0.000000,B1,-53.11537783344091,0.2816856380415625,0.9595067489711148,GFE,GFE,0.9595067489711148,0.2816856380415625
25,xi+0.000000_eta+0.000000,B1,-54.136561902362715,0.26291736665990106,0.9648183550848435,GFE,GFE,0.9648183550848435,0.26291736665990106
26,xi+0.000000_eta+0.000000,B2,-51.991901244423055,0.3486440806710835,0.9372551973785022,GFE,GFE,0.9372551973785022,0.3486440806710835
27,xi+0.000000_eta+0.000000,B1,-52.98730603276728,0.3070013055889688,0.9517090933508351,GFE,GFE,0.9517090933508351,0.3070013055889688
28,xi+0.000000_eta+0.000000,B2,-53.784716380615,0.2722671619173369,0.9622216961498419,GFE,GFE,0.9622216961498419,0.2722671619173369
29,xi+0.000000_eta+0.000000,B2,-54.18383558733557,0.27076370880906253,0.9626458403753486,GFE,GFE,0.9626458403753486,0.27076370880906253
30,xi+0.000000_eta+0.000000,B1,-53.24236565861115,0.2845587472223225,0.9586586041856936,GFE,GFE,0.9586586041856936,0.2845587472223225
31,xi+0.000000_eta+0.000000,B1,-53.59346498343667,0.2660947742821028,0.9639468715130294,GFE,GFE,0.9639468715130294,0.2660947742821028
32,xi+0.000000_eta+0.000000,B1,-54.33618559850296,0.2739011346207289,0.9617578533360034,GFE,GFE,0.9617578533360034,0.2739011346207289
33,xi+0.000000_eta+0.000000,B1,-55.16222148372,0.20919408961109062,0.9778741395863718,GFE,GFE,0.9778741395863718,0.20919408961109062
34,xi+0.000000_eta+0.000000,B2,-53.99083117607852,0.2914322357939503,0.9565914759917837,GFE,GFE,0.9565914759917837,0.2914322357939503
35,xi+0.000000_eta+0.000000,B2,-54.53961775670883,0.243517391751241,0.9698965305199687,GFE,GFE,0.9698965305199687,0.243517391751241
36,xi+0.000000_eta+0.000000,B2,-52.51261004810189,0.3169411472975319,0.9484452061926003,GFE,GFE,0.9484452061926003,0.3169411472975319
37,xi+0.000000_eta+0.000000,B2,-54.21123427077759,0.2613900067031512,0.9652332694202612,GFE,GFE,0.9652332694202612,0.2613900067031512
38,xi+0.000000_eta+0.000000,B2,-54.05919653415269,0.2771270637294763,0.9608332792678856,GFE,GFE,0.9608332792678856,0.2771270637294763
39,xi+0.000000_eta+0.000000,B1,-53.666509022456445,0.26635143639423947,0.9638759838956075,GFE,GFE,0.9638759838956075,0.26635143639423947
40,xi+0.000000_eta+0.000000,B2,-53.3377229090388,0.30895183065908993,0.9510776868018705,GFE,GFE,0.9510776868018705,0.30895183065908993
41,xi+0.000000_eta+0.000000,B1,-54.459137478537805,0.2553309304757463,0.9668537200333821,GFE,GFE,0.9668537200333821,0.2553309304757463
42,xi+0.000000_eta+0.000000,B2,-54.26666288740913,0.2631770429427095,0.9647475545799177,GFE,GFE,0.9647475545799177,0.2631770429427095
43,xi+0.000000_eta+0.000000,B2,-54.06640253332414,0.26823718264573215,0.9633529020282651,GFE,GFE,0.9633529020282651,0.26823718264573215
44,xi+0.000000_eta+0.000000,B2,-53.83622757681374,0.28970947757192533,0.9571146319041425,GFE,GFE,0.9571146319041425,0.28970947757192533
45,xi+0.000000_eta+0.000000,B2,-53.85083147935197,0.2740144879545116,0.9617255639687586,GFE,GFE,0.9617255639687586,0.2740144879545116
46,xi+0.000000_eta+0.000000,B2,-52.6401416058497,0.34231614217271134,0.939584833215177,GFE,GFE,0.939584833215177,0.34231614217271134
47,xi+0.000000_eta+0.000000,B1,-54.25526926586286,0.2609903721053349,0.9653414036848926,GFE,GFE,0.9653414036848926,0.2609903721053349
48,xi+0.000000_eta+0.000000,B2,-53.44311954430247,0.2816050553102506,0.9595304022404453,GFE,GFE,0.9595304022404453,0.2816050553102506
49,xi+0.000000_eta+0.000000,B1,-54.415685044647034,0.24141123544012955,0.9704229054403396,GFE,GFE,0.9704229054403396,0.24141123544012955
50,xi+0.000000_eta+0.000000,B2,-53.15169707061582,0.288007681900844,0.9576280985675505,GFE,GFE,0.9576280985675505,0.288007681900844
51,xi+0.000000_eta+0.000000,B2,-53.23252020612298,0.29373027822748726,0.9558883426700019,GFE,GFE,0.9558883426700019,0.29373027822748726
52,xi+0.000000_eta+0.000000,B2,-53.14614022210808,0.29059968674581776,0.9568447220229793,GFE,GFE,0.9568447220229793,0.29059968674581776
53,xi+0.000000_eta+0.000000,B1,-53.25151813688838,0.30967503313858696,0.9508424548002761,GFE,GFE,0.9508424548002761,0.30967503313858696
54,xi+0.000000_eta+0.000000,B1,-53.915122345237734,0.2712858000448831,0.9624988388013814,GFE,GFE,0.9624988388013814,0.2712858000448831
55,xi+0.000000_eta+0.000000,B2,-54.37733526978506,0.25434780737822327,0.9671128129033811,GFE,GFE,0.9671128129033811,0.25434780737822327
56,xi+0.000000_eta+0.000000,B2,-54.226341793024005,0.2434374416863316,0.9699166005307951,GFE,GFE,0.9699166005307951,0.2434374416863316
57,xi+0.000000_eta+0.000000,B2,-54.21661115002834,0.2716274380765864,0.9624024807137346,GFE,GFE,0.9624024807137346,0.2716274380765864
58,xi+0.000000_eta+0.000000,B1,-53.32572009829371,0.29213178493181374,0.9563780738978453,GFE,GFE,0.9563780738978453,0.29213178493181374
59,xi+0.000000_eta+0.000000,B1,-54.582593909550994,0.2628507048772543,0.9648365182483147,GFE,GFE,0.9648365182483147,0.2628507048772543
60,xi+0.000000_eta+0.000000,B2,-54.5605700291015,0.2608196851460867,0.96538753453745,GFE,GFE,0.96538753453745,0.2608196851460867
61,xi+0.000000_eta+0.000000,B1,-53.62275577157874,0.2885299434818799,0.9574708725148474,GFE,GFE,0.9574708725148474,0.2885299434818799
62,xi+0.000000_eta+0.000000,B2,-53.66191310433222,0.28627258265965133,0.9581482183970146,GFE,GFE,0.9581482183970146,0.28627258265965133
63,xi+0.000000_eta+0.000000,B2,-54.625488010827674,0.23722176759189303,0.9714555229039453,GFE,GFE,0.9714555229039453,0.23722176759189303
64,xi+0.000000_eta+0.000000,B1,-53.468248754047934,0.29434049031193227,0.9557006203633706,GFE,GFE,0.9557006203633706,0.29434049031193227
65,xi+0.000000_eta+0.000000,B1,-52.694496537394464,0.3251529995828805,0.9456614229534032,GFE,GFE,0.9456614229534032,0.3251529995828805
66,xi+0.000000_eta+0.000000,B2,-53.704693839675265,0.2782118914458553,0.9605197256996442,GFE,GFE,0.9605197256996442,0.2782118914458553
67,xi+0.000000_eta+0.000000,B2,-53.7348746435215,0.29232535318883374,0.9563189258207868,GFE,GFE,0.9563189258207868,0.29232535318883374
68,xi+0.000000_eta+0.000000,B1,-53.900322433276536,0.28890158525602605,0.9573588010963053,GFE,GFE,0.9573588010963053,0.28890158525602605
69,xi+0.000000_eta+0.000000,B1,-51.54677554669531,0.3657171075920782,0.9307260591680477,GFE,GFE,0.9307260591680477,0.3657171075920782
70,xi+0.000000_eta+0.000000,B1,-54.56741079488327,0.23673081486226485,0.9715752782438672,GFE,GFE,0.9715752782438672,0.23673081486226485
71,xi+0.000000_eta+0.000000,B2,-54.08944272290205,0.2553781532412821,0.9668412480066582,GFE,GFE,0.9668412480066582,0.2553781532412821
72,xi+0.000000_eta+0.000000,B1,-52.947021713791756,0.30099477878944764,0.9536257877917792,GFE,GFE,0.9536257877917792,0.30099477878944764
73,xi+0.000000_eta+0.000000,B1,-53.0368928089099,0.3418659456180236,0.9397487298351057,GFE,GFE,0.9397487298351057,0.3418659456180236
74,xi+0.000000_eta+0.000000,B1,-54.1726351305053,0.25500315897193265,0.9669402199279619,GFE,GFE,0.9669402199279619,0.25500315897193265
75,xi+0.000000_eta+0.000000,B2,-53.301973076019955,0.29515577786760033,0.95544914401101,GFE,GFE,0.95544914401101,0.29515577786760033
76,xi+0.000000_eta+0.000000,B2,-54.8472824467712,0.2238657664466086,0.9746199867708811,GFE,GFE,0.9746199867708811,0.2238657664466086
77,xi+0.000000_eta+0.000000,B2,-54.38135979627554,0.26124874071830995,0.9652715138618239,GFE,GFE,0.9652715138618239,0.26124874071830995
78,xi+0.000000_eta+0.000000,B2,-54.12846038526113,0.26324138275512343,0.9647300007800994,GFE,GFE,0.9647300007800994,0.26324138275512343
